Wavelength,ATTO465 EM,ATTO465 EX,ATTO488 EM,ATTO488 EX,ATTO520 EM,ATTO520 EX,ATTO532 EM,ATTO532 EX,ATTO550 EM,ATTO550 EX,ATTO565 EM,ATTO565 EX,ATTO590 EM,FAM EM,FAM EX,ATTO590 EX,ATTO594 EM,ATTO594 EX,ATTO620 EM,ATTO620 EX,ATTO647N EM,ATTO647N EX,ATTO655 EM,ATTO655 EX,ATTO680 EM,ATTO680 EX,Cy3 EM,Cy3 EX,Cy5 EM,Cy5 EX,Cy5_5 EM,Cy5_5 EX,HEX EM,HEX EX,JOE EM,JOE EX,ROX EM,ROX EX,TAMRA EM,TAMRA EX,TexasRed EM,TexasRed EX,Rhodamine6G EM,Rhodamine6G EX
311,,0.025329005,,0.166233764,,0.025614719,,0.095341991,,0.066861473,,0.133805197,,,0.089125603,0.058878788,,0.039757574,,0.118363636,,0.116688312,,0.10747619,,0.064870129,,,,,,,,0.078363799,,0.0499,,0.188,,,,,,
312,,0.020000001,,0.163658006,,0.024978355,,0.097506492,,0.062857144,,0.130696971,,,0.091647997,0.057017316,,0.037926406,,0.116056277,,0.118813853,,0.104930736,,0.061904762,,,,,,,,0.072781302,,0.0482,,0.1865,,,,,,
313,,0.015398269,,0.159861469,,0.024805195,,0.09990909,,0.058653679,,0.12669697,,,0.094730899,0.055389611,,0.036298701,,0.113402597,,0.120748918,,0.102164502,,0.058688311,,,,,,,,0.0676594,,0.0466,,0.1852,,,,,,
314,,0.011952381,,0.154818181,,0.02491342,,0.102554112,,0.054645021,,0.121805194,,,0.099215202,0.053926407,,0.034987013,,0.110298701,,0.122675325,,0.09904329,,0.055324675,,,,,,,,0.063067801,,0.0459,,0.1841,,,,,,
315,,0.009290043,,0.148896107,,0.0255671,,0.105008658,,0.050757575,,0.116194805,,,0.102999002,0.052848485,,0.033926407,,0.106419914,,0.124242424,,0.095653679,,0.051766234,,,,,,,,0.059202,,0.0452,,0.1805,,,,,,
316,,0.007506494,,0.142285718,,0.027051949,,0.107077922,,0.047207791,,0.11030303,,,0.106642,0.05195671,,0.033160174,,0.101415585,,0.125562771,,0.09182251,,0.048341992,,,,,,,,0.055866499,,0.0447,,0.1767,,,,,,
317,,0.006679654,,0.135242429,,0.029056278,,0.109077922,,0.044125541,,0.104121211,,,0.111686997,0.051251082,,0.032645023,,0.09543723,,0.126683983,,0.087597401,,0.04495671,,,,,,,,0.052544899,,0.0443,,0.1726,,,,,,
318,,0.006441559,,0.127952386,,0.031805195,,0.110549784,,0.041177489,,0.097861472,,,0.115050003,0.050645022,,0.032251084,,0.088852815,,0.127437229,,0.082913419,,0.041848485,,,,,,,,0.050311901,,0.0438,,0.1662,,,,,,
319,,0.006445888,,0.12062771,,0.034926407,,0.111437229,,0.038805195,,0.091627706,,,0.117853001,0.050160174,,0.032047621,,0.081675326,,0.127298701,,0.077593072,,0.038926407,,,,,,,,0.048386,,0.0434,,0.1589,,,,,,
320,,0.006458875,,0.113372296,,0.038341991,,0.111614719,,0.036987014,,0.085281386,,,0.121357001,0.050017317,,0.031969699,,0.07404762,,0.126385281,,0.071965367,,0.036298702,,,,,,,,0.046990398,,0.0436,,0.1519,,,,,,
321,,0.006220779,,0.10595671,,0.041887446,,0.110839827,,0.035329005,,0.079017317,,,0.122897997,0.050017317,,0.031909093,,0.066727273,,0.124787879,,0.06587013,,0.033896104,,,,,,,,0.045999501,,0.0438,,0.144,,,,,,
322,,0.006108225,,0.098727271,,0.04512554,,0.109554112,,0.033969697,,0.072896105,,,0.123457998,0.050160174,,0.032000002,,0.059852814,,0.122419913,,0.059233766,,0.031805195,,,,,,,,0.045566801,,0.0443,,0.135,,,,,,
323,,0.006077922,,0.091761905,,0.048238095,,0.107268398,,0.032536796,,0.067086581,,,0.122897997,0.050645022,,0.032000002,,0.0535671,,0.119017316,,0.052554112,,0.030268399,,,,,,,,0.045287699,,0.0448,,0.1272,,,,,,
324,,0.006419914,,0.085536797,,0.051164502,,0.104316018,,0.031233766,,0.06191342,,,0.121496998,0.051160173,,0.031909093,,0.047930736,,0.114757576,,0.046238095,,0.029064936,,,,,,,,0.044855099,,0.0454,,0.1194,,,,,,
325,,0.007,,0.079796537,,0.053645021,,0.100913421,,0.029796537,,0.057285714,,,0.119534999,0.052017316,,0.031969699,,0.043164502,,0.109835497,,0.040363636,,0.02812987,,,,,,,,0.044785298,,0.0466,,0.1108,,,,,,
326,,0.007489178,,0.075264068,,0.055792207,,0.096965369,,0.028203463,,0.053225108,,,0.116311997,0.053108226,,0.032047621,,0.039134199,,0.104177488,,0.035255411,,0.027463204,,,,,,,,0.044896901,,0.0478,,0.1041,,,,,,
327,,0.007800866,,0.071935064,,0.057380952,,0.092640693,,0.026584416,,0.049774891,,,0.113649003,0.054190477,,0.032251084,,0.035774892,,0.097913419,,0.030731602,,0.02722078,,,,,,,,0.0447434,,0.0485,,0.0967,,,,,,
328,,0.008,,0.069696969,,0.058982684,,0.088043291,,0.02522078,,0.046714285,,,0.110146001,0.055597403,,0.032645023,,0.032805195,,0.091103895,,0.026965368,,0.027186148,,,,,,,,0.0443247,,0.0501,,0.0905,,,,,,
329,,0.008108225,,0.068376624,,0.060168831,,0.08325974,,0.024064935,,0.044177489,,,0.104539998,0.057,,0.033251083,,0.030207792,,0.083891773,,0.02391342,,0.027251083,,,,,,,,0.044645701,,0.0519,,0.0848,,,,,,
330,,0.008571429,,0.068025974,,0.06122078,,0.078372294,,0.023268398,,0.041943722,,,0.100195996,0.058402597,,0.034047619,,0.027896104,,0.076597401,,0.021316017,,0.027415585,,,,,,,,0.0447434,,0.0529,,0.0802,,,,,,
331,,0.009168831,,0.068346322,,0.06257143,,0.073415584,,0.022714286,,0.040238095,,,0.096132301,0.059718614,,0.034969697,,0.025987013,,0.06938961,,0.019177489,,0.027969698,,,,,,,,0.0450923,,0.0543,,0.0767,,,,,,
332,,0.009632034,,0.069017318,,0.064519482,,0.068848485,,0.022774892,,0.039064935,,,0.089546002,0.060861472,,0.035818181,,0.024329005,,0.062437229,,0.017523809,,0.028450217,,,,,,,,0.045580801,,0.0556,,0.0736,,,,,,
333,,0.010116883,,0.069740261,,0.066900435,,0.064467533,,0.023406927,,0.038160173,,,0.084781401,0.061939394,,0.036969697,,0.022878788,,0.055774892,,0.016069264,,0.028969696,,,,,,,,0.046069302,,0.0566,,0.0692,,,,,,
