Wavelength,ATTO465 EM,ATTO465 EX,Cy3 EM,Cy3 EX,Cy5 EM,Cy5 EX,Cy5.5 EM,Cy5.5 EX,HEX EM,HEX EX,JOE EM,JOE EX,ROX EM,ROX EX,TAMRA EM,TAMRA EX,TexasRed EM,TexasRed EX,Rhodamine6G EM,Rhodamine6G EX
361,,0.039653679,,,,,,,,0.0102857,,0.0487,,0.0802,,,,,,
362,,0.041675324,,,,,,,,0.00992282,,0.0443,,0.0835,,,,,,
363,,0.043709957,,,,,,,,0.00953205,,0.0403,,0.0861,,,,,,
364,,0.046138528,,,,,,,,0.00902963,,0.0353,,0.0891,,,,,,
365,,0.048541126,,,,,,,,0.00887611,,0.0322,,0.0928,,,,,,
366,,0.05074026,,,,,,,,0.00870864,,0.0292,,0.095,,,,,,
367,,0.053134199,,,,,,,,0.00895985,,0.0255,,0.0975,,,,,,
368,,0.055653679,,,,,,,,0.00895985,,0.0234,,0.0993,,,,,,
369,,0.058277057,,,,,,,,0.0089738,,0.0218,,0.1004,,,,,,
370,,0.060848486,,,,,,,,0.00898776,,0.02,,0.1004,,,,,,
371,,0.063696971,,,,,,,,0.00935062,,0.0186,,0.1002,,,,,,
372,,0.067108227,,,,,,,,0.00943436,,0.0176,,0.0987,,,,,,
373,,0.070419915,,,,,,,,0.00961579,,0.0165,,0.0964,,,,,,
374,,0.073878789,,,,,,,,0.00981117,,0.0164,,0.0937,,,,,,
375,,0.077506494,,,,,,,,0.0102578,,0.016,,0.0905,,,,,,
376,,0.081190478,,,,,,,,0.0103834,,0.0156,,0.0868,,,,,,
377,,0.085108226,,,,,,,,0.0108021,,0.0156,,0.0829,,,,,,
378,,0.089017317,,,,,,,,0.0110533,,0.0155,,0.0787,,,,,,
379,,0.093251083,,,,,,,,0.0111231,,0.0153,,0.0746,,,,,,
380,,0.097675325,,,,,,,,0.0116255,,0.0151,,0.0714,,,,,,
381,,0.102203463,,,,,,,,0.0118627,,0.0153,,0.0673,,,,,,
382,,0.106705627,,,,,,,,0.0125466,,0.0155,,0.0634,,,,,,
383,,0.111112554,,,,,,,,0.0130071,,0.0156,,0.0608,,,,,,
384,,0.115645021,,,,,,,,0.0129374,,0.016,,0.0564,,,,,,
385,,0.120389611,,,,,,,,0.0137608,,0.0164,,0.0545,,,,,,
386,,0.125298703,,,,,,,,0.0139003,,0.0165,,0.0521,,,,,,
387,,0.13070563,,,,,,,,0.0142074,,0.0165,,0.05,,,,,,
388,,0.13619048,,,,,,,,0.0144725,,0.0167,,0.0485,,,,,,
389,,0.141909092,,,,,,,,0.0150168,,0.0167,,0.0471,,,,,,
390,,0.147597403,,,,,,,,0.0155192,,0.0165,,0.0458,,,,,,
391,,0.153190476,,,,,,,,0.015770501,,0.0169,,0.0447,,,,,,
392,,0.159017315,,,,,,,,0.0160356,,0.0169,,0.0439,,,,,,
393,,0.164896104,,,,,,,,0.0164124,,0.0169,,0.0432,,,,,,
394,,0.171177489,,,,,,,,0.016635699,,0.0167,,0.0427,,,,,,
395,,0.178125543,,,,,,,,0.0171382,,0.0171,,0.0424,,,,,,
396,,0.185389614,,,,,,,,0.017319599,,0.0171,,0.0419,,,,,,
