Wavelength,ATTO425 EM,ATTO425 EX,ATTO465 EM,ATTO465 EX,FAM EM,FAM EX,ATTO488 EM,ATTO488 EX,JOE EM,JOE EX,HEX EM,HEX EX,Cy3 EM,Cy3 EX,ROX EM,ROX EX,Cy3.5 EM,Cy3.5 EX,CAL560 EM,CAL560 EX,CAL590 EM,CAL590 EX,CAL610 EM,CAL610 EX,Cy5 EM,Cy5 EX,Cy5.5 EM,Cy5.5 EX
372,,0.784913424,,0.485164503,,0.0179372,,0.027363636,,0.0176,,0.00943436,,,,0.0987,,,,0.0485726,,0.029999999,,0.047553599,,,,
373,,0.805086582,,0.504822506,,0.0180774,,0.029112554,,0.0165,,0.00961579,,,,0.0964,,,,0.0464723,,0.029999999,,0.0482786,,,,
374,,0.824805195,,0.525177476,,0.0182175,,0.031077922,,0.0164,,0.00981117,,,,0.0937,,,,0.044531099,,0.029999999,,0.048530899,,,,
375,,0.843896099,,0.546017307,,0.0184978,,0.032969697,,0.016,,0.0102578,,,,0.0905,,,,0.042683002,,0.02,,0.048244301,,,,
376,,0.862298694,,0.566999995,,0.018778,,0.034878788,,0.0156,,0.0103834,,,,0.0868,,,,0.041085899,,0.02,,0.047423501,,,,
377,,0.880108219,,0.587891772,,0.018778,,0.037047619,,0.0156,,0.0108021,,,,0.0829,,,,0.0397989,,0.02,,0.046200801,,,,
378,,0.896909083,,0.608701304,,0.019198401,,0.039341991,,0.0155,,0.0110533,,,,0.0787,,,,0.038644999,,0.02,,0.044760101,,,,
379,,0.912770552,,0.629103906,,0.0196188,,0.041675324,,0.0153,,0.0111231,,,,0.0746,,,,0.037613701,,0.02,,0.0429997,,,,
380,0.001115152,0.927718603,,0.649194823,,0.0196188,,0.044112553,,0.0151,,0.0116255,,,,0.0714,,,,0.036800399,,0.02,,0.041049801,,,,
381,0.000912121,0.941584404,,0.668822532,,0.019758999,,0.046675324,,0.0153,,0.0118627,,,,0.0673,,,,0.0360885,,0.02,,0.038928598,,,,
