Wavelength,FAM EM,FAM EX,Cy3 EM,Cy3 EX,CAL610 EM,CAL610 EX,Cy5.5 EM,Cy5.5 EX
494,0.168204993,0.984025002,,0.1862,,0.0349489,,
495,0.200084001,0.967769027,,0.1949,,0.036731001,,
496,0.235452995,0.94590801,,0.1999,,0.038638599,,
497,0.273586005,0.907091022,,0.2102,,0.040587399,,
498,0.319260001,0.873178005,,0.219,,0.0425179,,
499,0.361883014,0.834921002,,0.2264,,0.044523802,,
500,0.405445993,0.775785029,,0.2379,,0.046497598,,
501,0.455150992,0.729120016,,0.2606,,0.048529699,,
502,0.508347988,0.680633008,,0.2755,,0.050452299,,
503,0.558570981,0.611967027,,0.2861,,0.052351899,,
504,0.609350026,0.561940014,,0.3035,,0.054258499,,
505,0.660878003,0.513453007,,0.3268,,0.0560885,,
506,0.716261983,0.449552,,0.3457,,0.057789501,,
507,0.761668026,0.40554899,,0.3586,,0.059635598,,
508,0.804982007,0.364069998,,0.3765,,0.061408501,,
509,0.853420019,0.310817987,,0.3957,,0.0630491,,
510,0.883358002,0.275364012,,0.4222,,0.064732999,,
511,0.915407002,0.242432997,,0.4403,,0.066605203,,
512,0.932295024,0.202074006,,0.4579,,0.068441004,,
513,0.962366998,0.176148996,,0.4747,,0.070243597,,0.011577814
514,0.973017991,0.153026998,0,0.4895,,0.072266601,,0.011577814
515,0.983668983,0.125560999,0.001,0.5039,,0.074426599,,0.011567841
516,0.995182991,0.108323999,0.002,0.5057,,0.076708697,,0.011567841
517,0.994991004,0.0931895,0.003,0.5179,,0.079269402,,0.011557869
518,1,0.075532503,0.004,0.5249,,0.082065299,,0.011547897
519,0.992879987,0.064321697,0.005,0.5283,,0.085236698,,0.013482519
520,0.98121202,0.054932699,0.006,0.5279,,0.088756397,,0.013482519
521,0.975377977,0.044422701,0.007,0.5343,,0.092669897,,0.013472546
522,0.954209983,0.0379765,0.008,0.5291,,0.097259298,,0.013472546
523,0.935249984,0.0323711,0.009,0.5296,,0.102201,,0.013462574
524,0.923888981,0.026064999,0.01,0.5248,,0.107681997,,0.013452602
525,0.904946983,0.0221413,0.011,0.521,,0.113748997,,0.01734179
526,0.891802013,0.018778,0.012,0.5182,,0.120362997,,0.017331818
527,0.864147007,0.0151345,0.013,0.5145,,0.127614006,,0.017321846
528,0.840139985,0.0127522,0.014,0.5135,,0.135378003,,0.017321846
529,0.81726402,0.0107904,0.015,0.5131,,0.143564999,,0.017311873
530,0.792219996,0.00854821,0.0174,0.5161,,0.152327001,,0.021191088
531,0.771628022,0.00742713,0.0188,0.5258,,0.161356002,,0.021191088
532,0.745931029,0.00616592,0.0204,0.5251,,0.170888007,,0.021181116
533,0.725013018,0.00476457,0.0223,0.5333,,0.180717006,,0.025060331
534,0.69887501,0.0040639,0.0246,0.5467,,0.190614,,0.02505036
535,0.674196005,0.00336323,0.0272,0.5547,,0.200630993,,0.02505036
536,0.659475982,0.00238229,0.0303,0.5687,,0.210544005,,0.025040388
537,0.638154984,0.00182175,0.034,0.5808,,0.220272005,,0.025040388
538,0.620307982,0.00140135,0.0385,0.6004,,0.229663,,0.028919604
539,0.599216998,0.000841,0.0439,0.6184,,0.238619998,,0.028909631
540,0.583979011,0.000701,0.0503,0.6378,,0.246883005,,0.028899658
541,0.567436993,0.000561,0.058,0.6774,,0.254397988,,0.028899658
542,0.551891983,0.000280269,0.0673,0.7055,,0.261200011,,0.030834282
543,0.535196006,0.000280269,0.0784,0.7314,,0.267024994,,0.034713496
544,0.523757994,1E-05,0.0917,0.7694,,0.271863997,,0.034713496
545,0.507772028,1E-05,0.1074,0.8049,,0.275835991,,0.034703523
546,0.497889012,1E-05,0.1258,0.8391,,0.278827012,,0.03469355
547,0.481788009,1E-05,0.1472,0.8737,,0.280891001,,0.042461958
548,0.471060008,1E-05,0.1721,0.8976,,0.282101005,,0.042461958
549,0.458355993,1E-05,0.2007,0.9307,,0.282709986,,0.04245198
550,0.449968994,1E-05,0.2336,0.9647,,0.282712996,,0.044386607
551,0.438742995,,0.2713,0.9789,,0.282227993,,0.044386607
552,0.428667009,,0.314,0.9968,,0.281547993,,0.044376634
553,0.416213006,,0.3608,0.9989,,0.280824006,,0.04825585
554,0.407864988,,0.4117,1,,0.280238003,,0.052135065
555,0.396003991,,0.466,0.9913,,0.280019999,,0.052135065
556,0.387809992,,0.5229,0.9852,,0.280373007,,0.05601428
557,0.378962994,,0.5819,0.9538,,0.281323999,,0.05600431
558,0.365970999,,0.6415,0.932,,0.283262014,,0.059883524
559,0.35750699,,0.7012,0.8952,,0.286258996,,0.061828118
560,0.347681999,,0.7583,0.8451,,0.290506989,,0.061818145
561,0.338719994,,0.812,0.7777,,0.296083003,,0.06958655
562,0.32881701,,0.8609,0.7271,,0.303119004,,0.06958655
563,0.319835991,,0.9036,0.6801,,0.311827987,,0.073455796
564,0.308878005,,0.9384,0.6153,,0.32219699,,0.073455796
565,0.300817996,,0.9664,0.5457,,0.334468991,,0.07733501
566,0.290262997,,0.9862,0.4863,0.00509,0.348850012,,0.08315882
567,0.282182992,,0.9969,0.4502,0.00634556,0.365108013,,0.08315882
568,0.272511005,,1,0.3955,0.00769,0.383352011,,0.083148845
569,0.264450997,,0.9955,0.3482,0.00928333,0.403849006,,0.08703803
570,0.253722996,,0.9833,0.3021,0.0112,0.426339,,0.09285187
571,0.245394006,,0.964,0.2631,0.0135567,0.450998008,,0.09285187
572,0.236797005,,0.9395,0.2259,0.016465601,0.477872014,,0.0928419
573,0.227469996,,0.9107,0.1952,0.020036699,0.506846011,,0.09673109
574,0.220579997,,0.8777,0.1693,0.0243933,0.537501991,,0.09672111
575,0.211177006,,0.8421,0.1493,0.029658901,0.570030987,,0.10060033
576,0.205323994,,0.8047,0.132,0.0359511,0.604368985,,0.10448952
577,0.197090998,,0.7657,0.1172,0.0434522,0.640285015,,0.11030336
578,0.189605996,,0.7261,0.1002,0.052418899,0.67673701,,0.11030336
579,0.182265997,,0.6869,0.0878,0.063023299,0.714145005,,0.11806179
580,0.175477996,,0.6477,0.0717,0.075333297,0.751918018,,0.11806179
581,0.169218004,,0.61,0.062,0.089466698,0.789053977,,0.11806179
582,0.161617994,,0.5738,0.0498,0.105682001,0.825316012,,0.121941
583,0.155537993,,0.5392,0.0428,0.124264002,0.860239983,,0.12193103
584,0.148952007,,0.5072,0.0356,0.145434007,0.892669022,,0.12775484
585,0.144209996,,0.4774,0.0311,0.169418007,0.922026992,,0.12775484
586,0.138850003,,0.4495,0.0266,0.196395993,0.947457016,,0.13551328
587,0.132980004,,0.4237,0.0242,0.226260006,0.968777001,,0.13551328
588,0.127875,,0.3995,0.0202,0.258870006,0.984938025,,0.1393925
589,0.124465004,,0.3767,0.0155,0.294319987,0.995298982,,0.1452163
590,0.118807003,,0.3558,0.0143,0.332632005,1,,0.1452163
591,0.114435002,,0.3367,0.0119,0.373614013,0.998346984,,0.15297472
592,0.110835001,,0.3193,0.0104,0.416933,0.99029398,,0.15686391
593,0.105691999,,0.3035,0.0101,0.46221,0.975903988,,0.16268773
594,0.101834998,,0.289,0.0084,0.508903027,0.955088019,,0.16656694
595,0.098708503,,0.276,0.0071,0.556360006,0.928546011,,0.17045613
596,0.094563201,,0.2643,0.0065,0.604098976,0.897041023,,0.18404835
597,0.091195203,,0.254,0.0066,0.65171802,0.861075997,,0.18793753
598,0.087827198,,0.2445,0.0059,0.698616028,0.821260989,,0.19764055
599,0.084718302,,0.2362,0.0046,0.744053006,0.777944028,,0.20152976
600,0.081868403,,0.2286,0.0038,0.787074029,0.732620001,,0.21124275
601,0.079277702,,0.2217,0.0032,0.826861978,0.685756028,,0.21901114
602,0.075391501,,0.2156,0.0031,0.862882018,0.638221979,,0.22872415
603,0.073578,,0.2102,0.0028,0.894779027,0.590946972,,0.23260336
604,0.070991002,,0.2053,0.0025,0.92246002,0.544521987,,0.24037176
605,0.068641998,,0.2006,0.002,0.945997,0.498930991,,0.25008476
606,0.065771103,,0.1961,0.0016,0.965220988,0.45489499,,0.25979775
