Wavelength,FAM EM,FAM EX,ROX (carboxy-X-rhodamine) EM,ROX (carboxy-X-rhodamine) EX,Cy3 EM,Cy3 EX,Cy5.5 EM,Cy5.5 EX
621,0.038688902,,0.6755,0.0261,0.1193,0.0001,,0.37828836
622,0.0368005,,0.656,0.0237,0.1136,0.0001,,0.38216758
623,0.035447501,,0.6279,0.0216,0.1079,0,,0.3821576
624,0.034881402,,0.6093,0.0194,0.1024,0.0001,,0.38214764
625,0.033518799,,0.5871,0.0178,0.0969,0,,0.38214764
626,0.032108299,,0.5676,0.0165,0.0915,0,,0.38602686
627,0.030951099,,0.5496,0.0148,0.0863,0.0001,,0.38601688
628,0.0298457,,0.5258,0.0137,0.0814,0,,0.38601688
629,0.0294964,,0.5083,0.0127,0.0767,0,,0.3879515
630,0.0271782,,0.491,0.0118,0.0722,0,,0.3879415
631,0.027364301,,0.4735,0.0108,0.0679,0,,0.3879415
632,0.0261303,,0.4572,0.0105,0.0637,0,,0.38598695
633,0.024710201,,0.4377,0.0096,0.0597,0,,0.38597697
634,0.0237334,,0.423,0.0092,0.056,0,,0.3820878
635,0.0230291,,0.4091,0.0088,0.0524,0,,0.3820778
636,0.022603,,0.3965,0.0081,0.0491,0,,0.3820778
637,0.022169299,,0.3852,0.0079,0.046,0,,0.38789165
638,0.0211407,,0.3754,0.0074,0.0431,0,0.010772244,0.38789165
639,0.020392301,,0.3637,0.0071,0.0404,0,0.010772244,0.39566007
640,0.019037399,,0.3525,0.0067,0.038,0,0.010762251,0.3995393
641,0.0188608,,0.3447,0.0067,0.0357,0,0.010752258,0.4034185
642,0.0177765,,0.3336,0.0062,0.0336,0,0.012690863,0.41702068
643,0.017697901,,0.3287,0.0063,0.0316,0,0.012690863,0.42090988
644,0.0171951,,0.32,0.0062,0.0296,0,0.01268087,0.43839127
645,0.016375599,,0.3116,0.0059,0.0279,0,0.012670877,0.4442151
646,0.0158555,,0.3042,0.0058,0.0263,0,0.016558077,0.46559563
647,0.0151071,,0.3002,0.0058,0.0248,0,0.016548084,0.47141945
648,0.0148826,,0.2937,0.0056,0.0234,0,0.024312494,0.48891082
649,0.0136985,,0.2876,0.0056,0.022,0,0.024312494,0.49667922
650,0.013781,,0.2808,0.006,0.0208,,0.028189704,0.51028144
651,0.0129731,,0.2768,,0.02,,0.03401551,0.5277728
652,0.0127236,,0.2715,,0.018,,0.03401551,0.5530326
653,0.0128733,,0.2683,,0.017,,0.043728516,0.5841261
654,0.0119521,,0.2611,,0.016,,0.043718524,0.5938391
655,0.0114186,,0.2582,,0.015,,0.059267327,0.63271105
656,0.0114838,,0.2549,,0.014,,0.06509313,0.65020245
657,0.0116143,,0.2475,,0.013,,0.06897034,0.6638046
658,0.0116796,,0.2423,,0.012,,0.08645775,0.681296
659,0.0100733,,0.2389,,0.011,,0.092293546,0.7123896
660,0.0101846,,0.2359,,0.009,,0.11366816,0.73182553
661,0.0102959,,0.2316,,0.008,,0.12144256,0.7668083
662,0.00928073,,0.2266,,0.007,,0.15254018,0.8153932
663,0.00865894,,0.2233,,0.006,,0.16614038,0.83677375
664,0.00875106,,0.2186,,0.005,,0.1797406,0.85037595
665,0.00884317,,0.2144,,0.004,,0.21473539,0.8931371
666,0.00856298,,0.2107,,0.003,,0.2283356,0.90673923
667,0.00865126,,0.2043,,0.002,,0.27304342,0.9242207
668,0.00797958,,0.2017,,0.001,,0.28859222,0.9553142
669,0.00729255,,0.1956,,0.0005,,0.33912584,0.96892637
670,0.00736547,,0.1928,,0,,0.36051044,0.9864078
671,0.0074384,,0.1857,,,,0.38772085,0.9941762
672,0.00715053,,0.1835,,,,0.45770046,1
673,0.00721962,,0.1782,,,,0.47908506,1
674,0.00688378,,0.1735,,,,0.5490547,0.99999005
675,,,0.1694,,,,0.5685007,0.99999005
676,,,0.1637,,,,0.6384803,0.9863679
677,,,0.1608,,,,0.6598549,0.97858953
678,,,0.1571,,,,0.7356703,0.9688665
679,,,0.1502,,,,0.7667679,0.947476
680,,,0.1478,,,,0.7881525,0.9299747
681,,,0.1429,,,,0.81342435,0.89691657
682,,,0.1395,,,,0.8367475,0.885249
683,,,0.1344,,,,0.87950677,0.8444225
684,,,0.1283,,,,0.912543,0.82692116
685,,,0.1246,,,,0.9475378,0.7666487
686,,,0.1213,,,,0.95918936,0.74720275
687,,,0.1174,,,,0.9727996,0.71804386
688,,,0.1143,,,,0.9941742,0.67332816
689,,,0.109,,,,0.9961128,0.60138816
690,,,0.1066,,,,1,0.5663954
