Wavelength,FAM EM,FAM EX,ROX (carboxy-X-rhodamine) EM,ROX (carboxy-X-rhodamine) EX,Cy3 EM,Cy3 EX,Cy5.5 EM,Cy5.5 EX,JOE EM,JOE EX,Cy3.5 EM,Cy3.5 EX,CAL560 EM,CAL560 EX,CAL590 EM,CAL590 EX,CAL610 EM,CAL610 EX,Cy5 EM,Cy5 EX,HEX EM,HEX EX,TexasRed EM,TexasRed EX
346,,0.0284473,,0.0577,,,,,,0.0767,,,,0.0936777,,0.039999999,,0.0239195,,,,0.047060098,,
347,,0.0255045,,0.0585,,,,,,0.0797,,,,0.096531197,,0.039999999,,0.0236181,,,,0.043668799,,
348,,0.0235426,,0.06,,,,,,0.0816,,,,0.099319801,,0.039999999,,0.023571299,,,,0.0399983,,
349,,0.022001101,,0.0614,,,,,,0.0828,,,,0.102020003,,0.039999999,,0.0236958,,,,0.036397599,,
350,,0.020319499,,0.063,,,,,,0.0837,,,,0.104263,,0.050000001,,0.0239412,,,,0.0326434,,
351,,0.0193386,,0.0638,,,,,,0.0842,,,,0.105857998,,0.050000001,,0.0243511,,,,0.0290986,,
352,,0.0182175,,0.0648,,,,,,0.083,,,,0.106834002,,0.050000001,,0.024787201,,,,0.026042201,,
353,,0.0173767,,0.0665,,,,,,0.0819,,,,0.107167996,,0.050000001,,0.0252918,,,,0.022985799,,
354,,0.0169563,,0.0674,,,,,,0.0797,,,,0.106835,,0.050000001,,0.025926501,,,,0.0205993,,
355,,0.0162556,,0.0684,,,,,,0.0758,,,,0.105894998,,0.050000001,,0.026479101,,,,0.018296501,,
356,,0.0155549,,0.07,,,,,,0.0726,,,,0.104252003,,0.059999999,,0.027071601,,,,0.016175199,,
357,,0.0154148,,0.0713,,,,,,0.0686,,,,0.101928003,,0.059999999,,0.027736001,,,,0.0144865,,
358,,0.0152747,,0.0733,,,,,,0.0626,,,,0.0989144,,0.059999999,,0.028456399,,,,0.0130337,,
359,,0.0151345,,0.0755,,,,,,0.0589,,,,0.095594198,,0.059999999,,0.029493,,,,0.0121837,,
360,,0.0152747,,0.0776,,,,,,0.0547,,,,0.092051201,,0.059999999,,0.030848101,,,,0.011151,,
361,,0.0151345,,0.0802,,,,,,0.0487,,,,0.088233598,,0.059999999,,0.032430399,,,,0.0102857,,
362,,0.0151345,,0.0835,,,,,,0.0443,,,,0.084148496,,0.050000001,,0.034064099,,,,0.00992282,,
363,,0.0155549,,0.0861,,,,,,0.0403,,,,0.0797804,,0.050000001,,0.035571098,,,,0.00953205,,
364,,0.0159753,,0.0891,,,,,,0.0353,,,,0.0753747,,0.050000001,,0.037002701,,,,0.00902963,,
365,,0.0162556,,0.0928,,,,,,0.0322,,,,0.071135201,,0.050000001,,0.038642,,,,0.00887611,,
366,,0.016535901,,0.095,,,,,,0.0292,,,,0.067114897,,0.050000001,,0.0403203,,,,0.00870864,,
367,,0.016395699,,0.0975,,,,,,0.0255,,,,0.063383304,,0.039999999,,0.042174298,,,,0.00895985,,
368,,0.016675999,,0.0993,,,,,,0.0234,,,,0.059799101,,0.039999999,,0.0437828,,,,0.00895985,,
369,,0.017236499,,0.1004,,,,,,0.0218,,,,0.056494199,,0.039999999,,0.044997498,,,,0.0089738,,
370,,0.017516799,,0.1004,,,,,,0.02,,,,0.053566501,,0.029999999,,0.045990799,,,,0.00898776,,
371,,0.017797099,,0.1002,,,,,,0.0186,,,,0.050928701,,0.029999999,,0.0468002,,,,0.00935062,,
372,,0.0179372,,0.0987,,,,,,0.0176,,,,0.0485726,,0.029999999,,0.047553599,,,,0.00943436,,
373,,0.0180774,,0.0964,,,,,,0.0165,,,,0.0464723,,0.029999999,,0.0482786,,,,0.00961579,,
374,,0.0182175,,0.0937,,,,,,0.0164,,,,0.044531099,,0.029999999,,0.048530899,,,,0.00981117,,
375,,0.0184978,,0.0905,,,,,,0.016,,,,0.042683002,,0.02,,0.048244301,,,,0.0102578,,
376,,0.018778,,0.0868,,,,,,0.0156,,,,0.041085899,,0.02,,0.047423501,,,,0.0103834,,
377,,0.018778,,0.0829,,,,,,0.0156,,,,0.0397989,,0.02,,0.046200801,,,,0.0108021,,
378,,0.019198401,,0.0787,,,,,,0.0155,,,,0.038644999,,0.02,,0.044760101,,,,0.0110533,,
379,,0.0196188,,0.0746,,,,,,0.0153,,,,0.037613701,,0.02,,0.0429997,,,,0.0111231,,
380,,0.0196188,,0.0714,,,,,,0.0151,,,,0.036800399,,0.02,,0.041049801,,,,0.0116255,,
